epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.579,1.95741,2.29783,1.26512,0.18586,0.11657,0.04864,0.01973,2.22053,83.7624,2.38502,0.0721,0.0031,0.0031
2,445.53,2.01984,1.69406,1.32442,0.25825,0.13564,0.06328,0.02749,2.03755,12.0863,1.74254,0.0431474,0.00614737,0.00614737
3,663.054,1.95232,1.54724,1.29142,0.13431,0.17179,0.08917,0.03996,1.97915,5.38414,1.53145,0.0136019,0.0086019,0.0086019
4,873.984,1.88709,1.4648,1.26228,0.32077,0.1575,0.10348,0.04988,1.86176,2.63601,1.33941,0.00795954,0.00795954,0.00795954
5,1084.09,1.80855,1.38028,1.23226,0.32006,0.15391,0.11942,0.05876,1.77837,1.70554,1.23883,0.00657963,0.00657963,0.00657963
6,1292.63,1.76127,1.30947,1.19033,0.37463,0.1884,0.15555,0.07886,1.76543,1.33241,1.2146,0.00505,0.00505,0.00505
7,1500.83,1.71179,1.26885,1.17354,0.40253,0.20202,0.17102,0.08942,1.70652,1.25234,1.16799,0.00352037,0.00352037,0.00352037
8,1709.32,1.68144,1.2253,1.16572,0.41389,0.20746,0.17692,0.09306,1.64876,1.19859,1.16069,0.00214046,0.00214046,0.00214046
9,1917.91,1.63953,1.17932,1.14421,0.41706,0.21579,0.18304,0.0964,1.61398,1.17045,1.13327,0.00104537,0.00104537,0.00104537
10,2126.63,1.60539,1.14126,1.12376,0.41198,0.22273,0.18851,0.10043,1.59234,1.13747,1.12319,0.00034227,0.00034227,0.00034227
